id,domain,role,no_auth_route,probe_url,probe_method,primary_use,limitations,decision
licsar_ceda,radar_insar,Open Sentinel-1 derived interferograms coherence and unwrapped phase,CEDA public archive for registered and non-registered users,https://data.ceda.ac.uk/neodc/comet/data/licsar_products/?json=,GET_JSON,Main no-auth InSAR product inventory and downloadable products,Coverage is non-uniform and frame-based; not a complete global subsidence product,primary
egms_sourcecoop,radar_insar,Cloud-native conversion of official EGMS point products,Public Source Cooperative HTTP object,https://data.source.coop/youssef-harby/egms-copernicus/L2a/parquet/CY/EGMS_L2a_087_0205_IW2_VV_2019_2023_1.parquet,RANGE_GET,Fast programmatic European benchmark for ground motion exposure analysis,Third-party conversion; must cite and check original Copernicus EGMS license,primary_benchmark
egms_official,radar_insar,Official European Ground Motion Service,EGMS Explorer download,https://land.copernicus.eu/en/products/european-ground-motion-service,GET_PAGE,Official source and citation basis for EGMS data,Official site says download through Explorer; programmatic bulk route may be less direct,primary_benchmark
california_dwr_tre_insar,radar_insar,California statewide TRE Altamira InSAR displacement points rasters and reports,California Open Data and DWR GIS services,https://lab.data.ca.gov/dataset/tre-altamira-insar-subsidence-data,GET_PAGE,Strong no-auth groundwater-subsidence pilot and validation benchmark,California only; processed contractor product with DWR caveats,primary_pilot
usgs_groundwater_ogc,groundwater,Groundwater level elevation observations,USGS OGC API no login,https://api.waterdata.usgs.gov/ogcapi/v0/collections/field-measurements/items?bbox=-120.8%2C35.2%2C-118.8%2C37.2&limit=1&f=json&filter=site_type_code%20=%20%22GW%22%20AND%20parameter_code%20=%20%2262611%22,GET_JSON,Mechanism validation for US pilots,Irregular well sampling and changing site composition; not causal alone,primary_mechanism
chirps,climate,Daily and monthly rainfall/drought forcing,Public CHC HTTP files,https://data.chc.ucsb.edu/products/CHIRPS-2.0/global_daily/tifs/p05/2023/chirps-v2.0.2023.01.01.tif.gz,RANGE_GET,Drought and precipitation controls,Quasi-global 50S-50N; version transition to CHIRPS v3 must be tracked,primary_covariate
worldpop,exposure,Population exposure,WorldPop REST/API no authentication up to rate limit,https://www.worldpop.org/sdi/api_rate_limits/,GET_PAGE,Population exposure and socioeconomic consequence layer,Rate limits without API key; cite exact product version,primary_exposure
ghsl,exposure,Built-up area settlement population and urban layers,EU/JRC direct download page,https://human-settlement.emergency.copernicus.eu/download.php,GET_PAGE,Built environment and settlement exposure,Product selection/version must be fixed before analysis,primary_exposure
fao_gmia,irrigation,Global irrigation and groundwater-irrigation fraction maps,FAO AQUASTAT direct downloads,https://www.fao.org/aquastat/en/geospatial-information/global-maps-irrigated-areas/latest-version/,GET_PAGE,Groundwater irrigation demand proxy,Coarse 5 arc-min resolution and static historical baseline,primary_covariate
osm_geofabrik,infrastructure,Road rail bridge port airport and other infrastructure proxies,Geofabrik public OSM extracts,https://download.geofabrik.de/,GET_PAGE,Infrastructure exposure layer,ODbL attribution and derived-database obligations must be respected,primary_exposure
ngl_midas_gnss,gnss,Global GNSS MIDAS station velocities and station coordinates,Nevada Geodetic Laboratory public text products,https://geodesy.unr.edu/velocities/midas.IGS14.txt,GET_TEXT,Sparse independent vertical-motion anchors for cross-region validation,Station density is sparse and reference-frame effects must be handled; not a pixel-level InSAR truth product,primary_benchmark
japan_licsbas_zenodo,radar_insar,Japan nationwide urban deformation data derived from Sentinel-1 LiCSAR and LiCSBAS,Zenodo public record and file API,https://zenodo.org/api/records/4243151,GET_JSON,Non-US open urban deformation benchmark and data-product extension,Derived from LiCSAR/LiCSBAS so it is not independent truth; large 28.7 GB record requires selective download,secondary_benchmark
ghsl_built_s_r2023a,exposure,Global built-up surface grid at 100 m and 1 km with multitemporal epochs,JRC GHSL public download and GEE catalogue,https://human-settlement.emergency.copernicus.eu/ghs_buS2023.php,GET_PAGE,Area-weighted built-up exposure and settlement-growth covariate,Needs equal-area overlay and exact resolution/epoch selection before manuscript claims,primary_exposure
ms_global_buildings,exposure,Global AI-derived building footprints from Bing imagery,Microsoft open building footprint download,https://github.com/microsoft/globalmlbuildingfootprints,GET_PAGE,Building-footprint exposure layer for area/asset counts where GHSL is too coarse,Very large vector dataset; imagery dates vary by region and must be tracked,secondary_exposure
google_open_buildings_temporal,exposure,Open Buildings 2.5D Temporal building presence counts and height,Google Earth Engine and Google Cloud public dataset,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_Research_open-buildings-temporal_v1,GET_PAGE,Building-count and height exposure for Global South candidate regions,Coverage excludes parts of Europe/North America; access route may use GEE or cloud storage,secondary_exposure
iran_nationwide_insar_zenodo,radar_insar,Nationwide Iran land-subsidence rate seasonal-amplitude and mask from Sentinel-1 InSAR 2014-2020,Zenodo public record and file API,https://zenodo.org/api/records/10815578,GET_JSON,No-token high-impact nationwide subsidence raster for arid groundwater benchmark extension,Published Science Advances companion dataset; not independent truth and overlaps groundwater-subsidence literature,secondary_benchmark
coastal_city_subsidence_db_zenodo,subsidence_catalog,Database of subsidence in 143 major coastal cities,Zenodo public record and Excel download,https://zenodo.org/api/records/13692617,GET_JSON,Context and city-selection prior for no-token global screening,Compiled literature database rather than gridded deformation evidence,secondary_context
gsi_geonet_japan,gnss,Japan GEONET daily coordinates and GNSS products,GSI public information with foreign-researcher FTP application route,https://www.gsi.go.jp/ENGLISH/geonet_english.html,GET_PAGE,Potential dense independent Japan GNSS benchmark if FTP access is granted,Not strict no-token for foreign researchers because access requires application with IP address,demote_to_optional
sentinel1_aws_grd,radar_amplitude,Global Sentinel-1 GRD cloud-optimized GeoTIFF archive,AWS open data no-account listing per registry,https://registry.opendata.aws/sentinel-1/,GET_PAGE,Amplitude/backscatter and acquisition-availability support; not phase InSAR,GRD is not enough for subsidence phase retrieval; requester-pays details can vary,secondary
opera_disp_s1,radar_insar,OPERA Sentinel-1 displacement product,Earthdata OAuth data body,https://cmr.earthdata.nasa.gov/search/collections.json?short_name=OPERA_L3_DISP-S1,GET_JSON,High-value North America validation if credentials are available,Requires free Earthdata login for data body; violates strict no-auth execution on current machine,demote_to_optional
aria_s1_gunw,radar_insar,ARIA Sentinel-1 geocoded unwrapped interferograms,Earthdata OAuth data body,https://cmr.earthdata.nasa.gov/search/collections.json?short_name=SENTINEL-1_INTERFEROGRAMS,GET_JSON,High-value global validation if credentials are available,Requires free Earthdata login for data body; not primary under no-authorization rule,demote_to_optional
