module_id,module,main_question,minimal_experiment,nature_level_gate,current_local_status,next_artifact
E0,Claim and collision audit,"What exactly is new relative to Science/Nature/Nat Commun subsidence-exposure papers?","Lock the claim to observability bias and exposure censoring rather than subsidence mapping.","No direct same-claim collision; novelty stated as product-observability bias benchmark.","Partial; several reports exist.","claim_collision_matrix.md"
E1,Data product inventory,"Which open products are observable where and when?","Build a product-region-time manifest for LiCSAR, Japan LiCSBAS, Iran InSAR, GHSL, WorldCover, NGL.","Every source has version, license, DOI/URL, spatial/temporal coverage, and known missingness.","Partial; registry and benchmark v0.1 exist.","dataset_inventory_v1.csv"
E2,Observability layer,"Where does open InSAR fail or become unusable?","For each region, compute valid-pixel, coherence, temporal-density, failure masks at thresholds 0.2/0.3/0.4.","Failure mask is reproducible, threshold-sensitive, and stored as source data.","Partial; LiCSAR coherence and binomial models exist.","observability_masks_v1"
E3,Deformation benchmark,"What is the best available no-token subsidence/deformation benchmark?","Standardize VLM sign, units, and projection for delta VLM, Japan LiCSBAS, Iran InSAR, DWR/Central Valley if used.","Every benchmark has unit/sign audit, uncertainty note, and independent-anchor status.","Partial; Japan/Iran downloaded, sign audits incomplete.","benchmark_deformation_layers_v1"
E4,Exposure overlay,"How much population/built-up/infrastructure lies in strong-deformation and unobservable cells?","Run equal-area or polygon area-weighted overlay for GHSL population, GHSL built-up, OSM roads/rail, irrigation/cropland.","Exposure estimate is not center-sampling only; uncertainty from resolution and alignment is quantified.","Partial; VLM-grid GHSL closure exists for Po/Chao/Brantas.","area_weighted_exposure_v1.csv"
E5,Main statistical model,"Is observability failure systematically related to strong subsidence after controls?","Fit spatial-blocked hierarchical/binomial models with strong motion, land cover, exposure, region, product, and time-sampling terms.","Positive signal survives land-cover/exposure controls, spatial block bootstrap, and leave-one-region-out tests.","Partial; WorldCover-adjusted binomial model done.","hierarchical_model_v1"
E6,Bias-to-risk translation,"How much does naive visible-only analysis underestimate exposure?","Compare visible-only exposure with counterfactual complete-coverage exposure using risk_underestimation_factor.","At least one lead region shows policy-relevant exposure underestimation with confidence intervals.","Partial; Chao/Po/Brantas exposure closure exists.","risk_underestimation_v1.csv"
E7,Transfer tests,"Does the bias framework transfer across product lineages and regions?","Train on deltas and test on Japan/Iran; leave-one-region-out; product-lineage stratification.","Model predicts direction/magnitude of observability failure outside the training region or exposes systematic domain limits.","Not yet; Japan/Iran probes ready.","transfer_validation_v1.md"
E8,Mechanism controls,"Is the observed bias just land cover or water/wetland effects?","Stratify by WorldCover, cropland/irrigation, wetland/water, built-up, vegetation, and drought/groundwater proxies.","Effect is either robust after controls or explicitly reframed as product-land-cover censoring.","Partial; WorldCover model done.","mechanism_control_table_v1.csv"
E9,Uncertainty and robustness,"Can reviewers break the result with reasonable choices?","Test coherence thresholds, AOI buffers, temporal windows, VLM thresholds 3/5/10 mm yr-1, block sizes, and nodata/sign conventions.","Main conclusions survive prespecified sensitivity grid or failures are transparently scoped.","Partial; some bootstrap and threshold sensitivity exists.","robustness_dashboard_v1"
E10,Figures and source data,"Can the paper tell a Nature-level story in 5-6 figures?","Build main figures, extended data, and figure source tables from reproducible scripts.","Each figure panel has source data, uncertainty, and a one-sentence conclusion.","Not yet.","figure_plan_and_source_data"
E11,FAIR deposit,"Can the data product be reviewed and reused?","Prepare README, data dictionary, manifest, code release, Zenodo/Dryad/ESSD-ready package.","Every central claim maps to a public file and reproducible script.","Partial; desktop package exists.","repository_release_candidate"
